,CTYNAME,FULLFP,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Area_squaremiles,1970 Population Density,1971 Population Density,1972 Population Density,1973 Population Density,1974 Population Density,1975 Population Density,1976 Population Density,1977 Population Density,1978 Population Density,1979 Population Density,1980 Population Density,1981 Population Density,1982 Population Density,1983 Population Density,1984 Population Density,1985 Population Density,1986 Population Density,1987 Population Density,1988 Population Density,1989 Population Density,1990 Population Density,1991 Population Density,1992 Population Density,1993 Population Density,1994 Population Density,1995 Population Density,1996 Population Density,1997 Population Density,1998 Population Density,1999 Population Density,2000 Population Density,2001 Population Density,2002 Population Density,2003 Population Density,2004 Population Density,2005 Population Density,2006 Population Density,2007 Population Density,2008 Population Density,2009 Population Density,2010 Population Density,2011 Population Density,2012 Population Density,2013 Population Density,2014 Population Density,2015 Population Density,2016 Population Density,2017 Population Density,2018 Population Density,2019 Population Density,2020 Population Density
10,Glenn County,6021,17521,17400,18300,18300,18500,19200,19700,20000,20000,21000,21503,22048,22344,22878,22836,23171,23216,23319,23847,24426,24916,25199,25509,25642,25783,26008,26111,26214,26176,26328,26416,26450,26651,27016,27122,27393,27652,27775,28019,28100,28125,28131,27836,27784,27802,27723,27796,27876,27899,28445,28283,28718,28360,28129,14283,1.226703073583981,1.218231463978156,1.281243436252888,1.281243436252888,1.295246096758384,1.3442554085276202,1.3792620597913603,1.4002660505496045,1.4002660505496045,1.4702793530770846,1.505496044248407,1.5436532941258838,1.564377231674018,1.6017643352236925,1.5988237765175384,1.6222782328642442,1.6254288314779808,1.6326402016383113,1.669607225372821,1.710144927536232,1.7444514457746971,1.764265210389974,1.785969334173493,1.7952811034096479,1.8051529790660226,1.8209059721347056,1.828117342295036,1.8353287124553666,1.8326682069593223,1.8433102289434993,1.8494713995659176,1.8518518518518519,1.8659245256598753,1.8914793810824058,1.8989007911503186,1.9178743961352658,1.9360078414898831,1.944619477700763,1.9617027235174682,1.9673738010221942,1.9691241335853813,1.969544213400546,1.9488902891549393,1.9452495974235104,1.946509836869005,1.9409787859693342,1.9460897570538402,1.9516908212560387,1.9533011272141707,1.991528390394175,1.980186235384723
11,Humboldt County,6023,99692,100100,104400,104400,105500,104200,105200,107400,107400,107800,108930,110341,109890,109635,110280,111052,111705,112819,114774,117160,119596,120612,121751,122234,121480,122814,122421,122639,122163,121358,126462,127520,128780,129754,130702,131497,132093,132001,132657,133744,135010,135257,134597,134447,134556,135177,136477,136710,136502,135839,134977,134897,134944,133985,43618,2.2855701774496766,2.294924113897932,2.3935072676417994,2.3935072676417994,2.41872621394837,2.388922004676968,2.4118483195011233,2.4622862121142646,2.4622862121142646,2.4714567380439267,2.497363473795222,2.529712504012105,2.519372736026411,2.5135265257462516,2.528313998807832,2.5460131138520796,2.5609839974322526,2.5865239121463617,2.631344857627585,2.6860470447980194,2.741895547709661,2.7651886835710027,2.7913017561557156,2.8023751662157825,2.7850887248383693,2.8156724288137926,2.8066623870878993,2.811660323719565,2.8007473978632675,2.7822917144298227,2.8993076252923107,2.9235636663762667,2.952450823054702,2.9747810536934294,2.9965152001467286,3.014741620431932,3.0284057040671284,3.026296483103306,3.0413361456279517,3.0662570498418082,3.095281764409189,3.100944564170755,3.085813196386813,3.0823742491631894,3.0848732174790223,3.0991104589848226,3.1289146682562246,3.1342564996102524,3.1294878261268284,3.1142876793984136,3.0945251960199918
12,Imperial County,6025,74492,74900,79600,79600,81500,83000,85300,88500,88500,90100,92602,94304,95686,96891,97467,99195,98893,100073,101889,105165,110930,117663,127533,134624,136248,139418,140921,142155,143735,145287,142410,143707,145640,148984,152259,156113,160505,164596,167917,172008,174704,175731,176487,176301,177786,178701,179881,181250,181062,180439,180267,179138,178940,179057,48240,1.544195688225539,1.552653399668325,1.650082918739635,1.650082918739635,1.689469320066335,1.720563847429519,1.7682421227197347,1.8345771144278606,1.8345771144278606,1.8677446102819237,1.9196102819237149,1.9548922056384743,1.9835406301824212,2.0085199004975123,2.020460199004975,2.056281094527363,2.050020729684909,2.07448175787728,2.112126865671642,2.1800373134328357,2.2995439469320065,2.439116915422886,2.6437189054726367,2.7907131011608626,2.8243781094527365,2.8900912106135985,2.921247927031509,2.9468283582089554,2.9795812603648426,3.0117537313432834,2.9521144278606966,2.979000829187396,3.0190713101160864,3.088391376451078,3.156281094527363,3.2361733001658375,3.3272180762852406,3.4120232172470977,3.4808665008291872,3.565671641791045,3.621558872305141,3.6428482587064677,3.6585199004975126,3.654664179104478,3.68544776119403,3.7044154228855724,3.7288764510779435,3.7572553897180763,3.7533582089552238,3.740443615257048,3.736878109452736
13,Inyo County,6027,15571,15800,16300,16300,16700,16900,17000,16500,16500,17700,17906,17955,18408,18421,18202,18084,17860,17797,17947,18317,18273,18321,18374,18346,18450,18420,18338,18273,18071,17958,17955,18117,18394,18593,18578,18478,18370,18426,18318,18544,18503,18385,18344,18348,18280,18097,17897,17819,17894,17993,18046,18924,18742,18527,110081,0.14145038653355257,0.1435306728681607,0.1480727827690519,0.1480727827690519,0.1517064706897648,0.15352331465012128,0.1544317366302995,0.14988962672940834,0.14988962672940834,0.16079069049154712,0.16266203977071428,0.16310716654100163,0.16722231811120902,0.1673404129686322,0.16535096883204187,0.16427903089543155,0.1622441656598323,0.16167185981232002,0.16303449278258736,0.16639565410924684,0.16599594843796842,0.16643199098845396,0.16691345463794843,0.16665909648349853,0.16760385534288388,0.16733132874883042,0.16658642272508425,0.16599594843796842,0.16416093603800838,0.16313441920040697,0.16310716654100163,0.16457881014889036,0.16709513903398407,0.16890289877453876,0.168766635477512,0.1678582134973338,0.16687711775874128,0.1673858340676411,0.16640473832904862,0.1684577720042514,0.16808531899237833,0.16701338105576802,0.16664092804389494,0.1666772649231021,0.16605953797658088,0.16439712575285473,0.16258028179249825,0.16187171264795924,0.1625530291330929,0.16345236689346934,0.16393383054296382
14,Kern County,6029,330234,336200,343000,343000,344800,356900,366900,378000,378000,393200,406458,418874,433696,446961,459408,474245,486211,497911,510974,527927,549219,569829,586745,597880,608858,612897,618020,624577,631615,642495,663803,676574,694059,714272,736296,760726,784511,803281,818327,830137,841365,848651,854392,862727,869837,876548,881094,887316,893618,898898,901362,912709,916751,913820,87862,3.7585531856775396,3.8264551228062187,3.903849218092008,3.903849218092008,3.9243358903735404,4.062051854043841,4.175866700052355,4.302201179121805,4.302201179121805,4.475199745054745,4.626095467892832,4.767407980697002,4.93610434545082,5.087079738681114,5.22874507750791,5.3976121645307416,5.5338030092645285,5.6669663790944895,5.81564271243541,6.008593020873643,6.250927590994969,6.485499988618516,6.678029182126517,6.804762013156997,6.929707951105142,6.975677767407981,7.033985113018142,7.1086135075459245,7.188716396166716,7.312546948623979,7.555063622498919,7.700416562336391,7.899421820582277,8.129475768819285,8.380141585668435,8.658191254467233,8.928899865698481,9.142530331656461,9.313776148960871,9.448191482096925,9.575982791195283,9.658908287997086,9.724249391090574,9.81911406523867,9.900036420750723,9.976417563907036,10.028157792902507,10.098973390089004,10.170699506043569,10.230793744736063,10.258837722792562
15,Kings County,6031,66717,66500,68300,68300,69100,70600,71700,73600,73600,73600,74272,76230,78217,81134,83000,85195,86374,88030,94513,99854,101809,104357,106510,107978,110146,112076,113329,114344,118667,123241,129835,132881,135369,139393,143601,145147,147712,150420,152027,152278,152342,151779,150884,150237,149373,149960,149269,149542,151221,152727,152692,152775,152987,152682,14978,4.4543330217652555,4.439845106155695,4.56002136466818,4.56002136466818,4.613433035118173,4.713579917211911,4.787020964080652,4.9138736813993855,4.9138736813993855,4.9138736813993855,4.9587394845773805,5.089464548003739,5.22212578448391,5.416878087862198,5.541460809186807,5.688009079983977,5.766724529309654,5.87728668714114,6.310121511550274,6.666711176392042,6.797235946054212,6.967352116437442,7.111096274535986,7.2091066898117235,7.3538523167312055,7.482707971691815,7.566364000534117,7.634130057417546,7.922753371611697,8.228134597409534,8.668380291093603,8.871745226331953,9.037855521431434,9.3065162237949,9.587461610361864,9.690679663506476,9.861930831886767,10.042729336359995,10.15002002937642,10.166777940980104,10.171050874616103,10.133462411536922,10.073708105220991,10.03051141674456,9.972826812658566,10.012017625851248,9.965883295500067,9.984110028041126,10.096207771398051,10.196755241020163,10.194418480437976
16,Lake County,6033,19548,20900,23500,23500,24100,25600,27400,32200,32200,34700,36833,38620,39993,41809,43812,45494,46135,47140,47914,48944,51106,52802,53919,54839,55243,55230,55098,54842,55076,55405,58538,60219,61513,62496,63116,63811,64202,64077,64392,64413,64736,64258,63966,63811,64056,64266,63912,64132,64394,64463,64479,68645,68172,67878,14310,1.3660377358490565,1.4605171208944794,1.6422082459818308,1.6422082459818308,1.684136967155835,1.7889587700908456,1.9147449336128581,2.2501747030048915,2.2501747030048915,2.424877707896576,2.5739343116701607,2.6988120195667364,2.7947589098532495,2.9216631726065687,3.0616352201257864,3.179175401816911,3.223969252271139,3.294199860237596,3.3482879105520613,3.420265548567435,3.571348707197764,3.689867225716282,3.767924528301887,3.8322152341020264,3.860447239692523,3.859538784067086,3.850314465408805,3.8324248777078966,3.848777078965758,3.871767994409504,4.090705800139762,4.208176100628931,4.298602375960867,4.367295597484277,4.410621942697414,4.459189378057302,4.486512928022362,4.477777777777778,4.49979035639413,4.50125786163522,4.523829489867226,4.490426275331935,4.470020964360587,4.459189378057302,4.476310272536687,4.490985324947589,4.466247379454926,4.481621243885395,4.499930118798043,4.504751921733054,4.505870020964361
17,Lassen County,6035,16796,17200,17600,17600,18200,18600,18600,20000,20000,21100,21853,22569,23374,23563,23831,24129,24641,26049,26681,27334,27653,28038,27973,28231,28062,28296,31270,33432,33281,33028,33719,33548,33430,33930,34458,34488,34605,35615,35221,35160,34828,34235,33622,32128,31664,31256,30715,30919,30658,30694,30016,31885,30020,28861,50807,0.3305843682957073,0.33853602850000986,0.34640895939535893,0.34640895939535893,0.3582183557383825,0.3660912866337316,0.3660912866337316,0.3936465447674533,0.3936465447674533,0.41529710472966325,0.43011789714015786,0.44421044344283267,0.46005471686972266,0.4637746767177751,0.469049540417659,0.47491487393469406,0.48499222548074084,0.5127049422323695,0.5251441730470211,0.5379967327336784,0.5442753951227193,0.5518530911094928,0.5505737398389986,0.5556517802664988,0.5523254669632137,0.5569311315369929,0.6154663727439132,0.6580195642332749,0.6550475328202807,0.6500679040289724,0.6636683921506878,0.6603027141929262,0.6579801995787982,0.6678213631979846,0.6782136319798453,0.6788041017969965,0.6811069340838861,0.7009860845946425,0.6932312476627236,0.6920306257011829,0.6854960930580432,0.6738244730056882,0.6617592064085658,0.632353809514437,0.623221209675832,0.615190820162576,0.6045426811266165,0.6085578758832444,0.6034207884740291,0.6041293522546106,0.590784734386994
18,Los Angeles County,6037,7041982,7103600,7040400,7040400,7085800,7116800,7211700,7351700,7351700,7401000,7502452,7608792,7767421,7920953,8041681,8182907,8393630,8553846,8667689,8793711,8875317,8931985,9021867,9064197,9048129,9029470,9056547,9126131,9223807,9329989,9538191,9626034,9705913,9767145,9793263,9786373,9737955,9700359,9735147,9787400,9821647,9873700,9931394,9987189,10033449,10077263,10094865,10092365,10061533,10011602,9943046,9809462,9719765,9663345,51139,137.702770879368,138.9076829816774,137.6718355853654,137.6718355853654,138.55961203777937,139.1658030074894,141.0215295566984,143.75916619409844,143.75916619409844,144.72320538141145,146.7070533252508,148.78648389683022,151.88840219793113,154.89065097088329,157.25143237059777,160.01304288312247,164.13363577699994,167.26658714484054,169.49273548563718,171.95703865934024,173.5528070552807,174.6609241479106,176.41852597821622,177.24626997008156,176.93206750229766,176.56719920217446,177.09667768239504,178.4573613093725,180.36737128219167,182.44371223528032,186.51500811513716,188.23273822327383,189.79473591583724,190.99209996284637,191.50282563210075,191.36809480044585,190.42130272394846,189.68612995952208,190.36639355482117,191.38817732063592,192.05786190578618,193.07573476211894,194.20391482039147,195.29496079313245,196.19955415631904,197.0563170965408,197.40051624005162,197.35162987152663,196.7487240657815,195.77234595905279,194.43176440681282
19,Madera County,6039,41519,42800,44500,44500,46100,47900,49700,55700,55700,60200,63986,67214,69240,71499,72994,75112,76970,79009,81766,84800,89014,95042,98751,102681,105181,106535,109751,112440,114523,116760,123587,125581,128369,132738,137106,140313,143622,146067,148359,149234,151006,151685,151520,151295,153357,153448,153694,155079,156373,156717,157761,158966,160329,162858,23178,1.7913107256881526,1.8465786521701613,1.9199240659245838,1.9199240659245838,1.9889550435758045,2.066614893433428,2.144274743291052,2.4031409094831306,2.4031409094831306,2.5972905341271897,2.7606350849943913,2.8999050824057298,2.987315557856588,3.0847786694279056,3.149279489170765,3.2406592458365693,3.3208214686340494,3.4087928207783245,3.5277418241435843,3.658641815514712,3.8404521529036155,4.10052636120459,4.260548796272327,4.430106135128138,4.537967037708172,4.596384502545518,4.735136767624471,4.851151954439555,4.941021658469238,5.037535594097851,5.332082146863405,5.418112002761239,5.538398481318492,5.726896194667357,5.91535076365519,6.053714729484856,6.196479420139788,6.30196738286306,6.400854258348434,6.438605574251445,6.5150573820001725,6.544352403140909,6.537233583570627,6.527526102338425,6.6164897747864355,6.6204159116403485,6.631029424454224,6.690784364483562,6.746613167658987,6.761454827853999,6.806497540771421
