,CTYNAME,FULLFP,1990,1980,1970,1960,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
46,Siskiyou County,6093,20141,17504,13074,13272,21983,22145,22291,22473,22779,23141,23590,23756,23854,23906,23925,23978,24028,24080,24035,23983,24061,24138,24208,24226,22932,22997,23141,23183
47,Solano County,6095,119136,84270,53762,41894,135034,137197,139688,142085,144667,147570,149852,150957,151866,152332,152839,153297,153677,154210,154980,155621,156966,157905,158818,159806,162428,163288,164415,165640
48,Sonoma County,6097,161062,124189,78060,59784,183846,186590,189421,191620,194184,196459,199583,201702,203314,204103,204656,205068,205637,206148,207146,207769,208324,209209,205114,208305,204914,205918,207417,209020
49,Stanislaus County,6099,132027,102472,65414,51834,151433,154556,157813,161237,165190,169253,173921,176641,178579,179154,179578,179793,179861,180054,180317,180698,181055,181586,182276,182978,183313,184121,185141,186253
50,Sutter County,6101,24163,20425,14102,11077,28383,28614,29043,29699,30670,31950,33205,33533,33771,33841,33880,33949,34007,34044,34102,34182,34337,34412,34484,34583,34531,34672,34813,34946
51,Tehama County,6103,20403,16556,10701,9143,23610,23832,24021,24315,24760,25505,26203,26693,26891,26983,26990,27064,27114,27180,27258,27342,27427,27529,27681,27840,27366,27452,27516,27572
52,Trinity County,6105,7540,6350,3750,4039,7986,8044,8116,8184,8274,8389,8490,8571,8628,8656,8689,8729,8753,8764,8786,8824,8854,8888,8955,9013,8155,8068,8051,8086
53,Tulare County,6107,105013,88744,61904,55554,120048,121679,123454,125448,127749,130319,133630,137057,139591,140955,141945,143199,144016,144606,145467,146465,147688,148935,150162,151603,151125,152678,153949,155255
54,Tuolumne County,6109,25175,19370,11248,8157,28424,28734,29020,29422,29826,30280,30709,30950,31104,31206,31255,31292,31308,31332,31370,31431,31478,31523,31613,31700,31427,31488,31560,31622
55,Ventura County,6111,228478,183384,112722,60698,252796,257075,260877,263779,267659,270687,275596,278150,280033,281209,281778,282361,282942,283532,284558,285870,287180,288792,291006,291512,293303,294357,295921,297810
56,Yolo County,6113,53028,43605,29736,20957,61911,63196,64583,66081,67935,70242,72045,73373,74358,74756,75133,75374,75616,75904,76705,76927,77251,77920,78496,79263,80462,81428,82461,83690
57,Yuba County,6115,21245,19248,14202,11113,22640,22614,22710,22937,23414,24977,26460,27221,27739,27700,27656,27713,27779,27856,28001,28199,28401,28582,28667,29049,29566,30012,30584,31263
